Date,Type,Planets,Angle
14/09/2022,Helio,Ven_Jup,144.0
14/09/2022,Helio,Ear_Mer,30.0
14/09/2022,Helio,Mer_Nep,30.0
14/09/2022,Helio,Mer_Mar,5.0
14/09/2022,Helio,Mer_Sat,0.0
