Date,Hit
2022-09-15,1
2022-09-16,2
2022-09-17,3
2022-09-18,1
2022-09-19,1
2022-09-21,2
2022-09-22,1
2022-09-23,2
2022-09-24,1
2022-09-25,1
2022-09-26,1
2022-09-27,2
2022-09-28,3
2022-09-29,2
2022-09-30,1
2022-10-01,3
2022-10-02,3
2022-10-04,1
2022-10-06,1
2022-10-08,2
2022-10-10,5
2022-10-11,1
2022-10-13,2
2022-10-17,4
2022-10-18,1
2022-10-19,1
2022-10-20,1
2022-10-21,1
2022-10-22,1
2022-10-25,1
