Date,Hit
2022-09-14,3
2022-09-15,2
2022-09-16,4
2022-09-17,3
2022-09-18,1
2022-09-19,2
2022-09-20,2
2022-09-21,1
2022-09-22,1
2022-09-23,1
2022-09-24,4
2022-09-25,1
2022-09-27,1
2022-09-28,2
2022-09-29,1
2022-09-30,2
2022-10-01,1
2022-10-02,2
2022-10-03,1
2022-10-04,2
2022-10-05,1
2022-10-07,2
2022-10-08,2
2022-10-09,1
2022-10-10,1
2022-10-11,3
2022-10-12,3
2022-10-13,1
2022-10-14,1
2022-10-15,3
