Date,Type,Planets,Angle
25/10/2027,Geo,Jup_Ura,180
25/10/2027,Geo,Mer_Sat,180
28/10/2027,Helio,Jup_Jup,135
08/11/2027,Geo,Jup_Nep,150
08/11/2027,Geo,Mer_Ura,135
11/11/2027,Geo,Sun_Ura,150
11/11/2027,Jup,Hs,
16/11/2027,Helio,Mar_Jup,72
20/11/2027,Geo,Ura_Nep,15
20/11/2027,Helio,Jup_Sat,0
21/11/2027,Helio,Mar_Sat,150
23/11/2027,Geo,Sun_Jup,45
23/11/2027,Geo,Mar_Nep,135
23/11/2027,Geo,Mer_Jup,30
01/12/2027,Geo,Plu_Plu,36
02/12/2027,Geo,Sat_Nep,60
12/12/2027,Helio,Mer_Jup,7.5
13/12/2027,Geo,Jup_Sat,7.5
13/12/2027,Helio,Mer_Ura,90
15/12/2027,Nep,D,
21/12/2027,Helio,Plu_Plu,36
24/12/2027,Sat,D,
30/12/2027,Helio,Ven_Jup,144
04/01/2028,Helio,Jup_Sat,90
05/01/2028,Helio,Sat_Ura,36
06/01/2028,Geo,Mar_Nep,135
07/01/2028,Geo,Jup_Nep,144
09/01/2028,Geo,Ura_Nep,15
12/01/2028,Jup,R,
12/01/2028,Mon,LEcl,
15/01/2028,Geo,Sat_Nep,60
17/01/2028,Geo,Jup_Nep,144
17/01/2028,Geo,Nep_Plu,15
26/01/2028,Sun,SEcl,
08/02/2028,Helio,Ear_Ura,30
11/02/2028,Geo,Jup_Sat,7.5
13/02/2028,Ura,D,
19/02/2028,Geo,Mer_Sat,180
23/02/2028,Helio,Jup_Ura,180
24/02/2028,Helio,Sat_Sat,135
26/02/2028,Helio,Jup_Sat,7.5
27/02/2028,Geo,Sat_Sat,144
02/03/2028,Geo,Sat_Ura,36
03/03/2028,Geo,Mer_Jup,30
04/03/2028,Geo,Sun_Jup,45
04/03/2028,Helio,Ura_Nep,15
04/03/2028,Sat,Hs,
17/03/2028,Jup,Hs,
19/03/2028,Helio,Mer_Jup,15
21/03/2028,Geo,Jup_Nep,150
22/03/2028,Helio,Jup_Nep,150
28/03/2028,Helio,Ear_Jup,135
30/03/2028,Geo,Nep_Nep,45
07/04/2028,Geo,Sat_Plu,120
11/04/2028,Helio,Sat_Plu,120
12/04/2028,Geo,Jup_Ura,180
12/04/2028,Geo,Mar_Jup,60
17/04/2028,Geo,Jup_Sat,0
19/04/2028,Geo,Sun_Plu,90
19/04/2028,Geo,Ven_Sat,135
21/04/2028,Helio,Mar_Jup,60
26/04/2028,Helio,Ven_Jup,135
28/04/2028,Helio,Ear_Sat,7.5
30/04/2028,Geo,Mer_Jup,36
08/05/2028,Geo,Sun_Ura,150
09/05/2028,Plu,R,
10/05/2028,Geo,Mer_Ura,135
10/05/2028,Geo,Sat_Nep,72
11/05/2028,Helio,Jup_Jup,120
12/05/2028,Geo,Sat_Sat,135
14/05/2028,Jup,D,
15/05/2028,Geo,Sat_Ura,45
28/05/2028,Geo,Mer_Jup,36
30/05/2028,Geo,Sun_Plu,90
04/06/2028,Helio,Jup_Sat,15
09/06/2028,Helio,Jup_Nep,144
10/06/2028,Geo,Jup_Sat,0
13/06/2028,Geo,Jup_Ura,144
14/06/2028,Geo,Mar_Jup,60
15/06/2028,Geo,Jup_Ura,180
16/06/2028,Geo,Sun_Nep,150
26/06/2028,Helio,Mer_Jup,22.5
26/06/2028,Helio,Jup_Plu,90
28/06/2028,Geo,Sun_Sat,180
06/07/2028,Geo,Jup_Nep,150
07/07/2028,Mon,LEcl,
09/07/2028,Jup,Hs,
11/07/2028,Geo,Ven_Sat,144
11/07/2028,Nep,R,
18/07/2028,Ura,Hs,
21/07/2028,Geo,Sun_Jup,45
22/07/2028,Geo,Mer_Jup,30
22/07/2028,Sun,SEcl,
24/07/2028,Helio,Ear_Jup,144
30/07/2028,Helio,Mar_Plu,72
04/08/2028,Geo,Jup_Sat,7.5
06/08/2028,Geo,Sun_Nep,150
11/08/2028,Geo,Jup_Nep,144
20/08/2028,Geo,Jup_Plu,90
21/08/2028,Helio,Sat_Nep,72
22/08/2028,Helio,Ven_Ura,120
23/08/2028,Sat,R,
31/08/2028,Geo,Mer_Jup,22.5
06/09/2028,Geo,Sun_Jup,36
10/09/2028,Geo,Jup_Sat,15
11/09/2028,Geo,Ven_Jup,72
11/09/2028,Helio,Jup_Sat,22.5
12/09/2028,Geo,Mar_Jup,45
15/09/2028,Helio,Sat_Ura,45
19/09/2028,Ura,R,
24/09/2028,Geo,Jup_Nep,135
03/10/2028,Geo,Nep_Plu,15
03/10/2028,Helio,Mer_Jup,30
04/10/2028,Geo,Sun_Jup,30
05/10/2028,Geo,Mer_Jup,15
05/10/2028,Geo,Ven_Sat,144
06/10/2028,Helio,Jup_Nep,135
11/10/2028,Helio,Ear_Jup,150
12/10/2028,Helio,Sat_Plu,144
15/10/2028,Geo,Jup_Sat,22.5
19/10/2028,Geo,Sun_Sat,180
19/10/2028,Plu,D,
24/10/2028,Geo,Mar_Jup,36
04/11/2028,Geo,Nep_Plu,15
05/11/2028,Helio,Mar_Jup,45
06/11/2028,Geo,Ven_Jup,60
07/11/2028,Helio,Mer_Sat,120
09/11/2028,Geo,Sun_Jup,22.5
09/11/2028,Geo,Mer_Jup,7.5
10/11/2028,Geo,Nep_Nep,45
10/11/2028,Helio,Ven_Jup,120
12/11/2028,Geo,Jup_Jup,90
12/11/2028,Helio,Mer_Plu,150
14/11/2028,Geo,Jup_Plu,72
21/11/2028,Geo,Jup_Sat,30
22/11/2028,Ura,Hs,
23/11/2028,Geo,Mar_Jup,30
23/11/2028,Geo,Jup_Ura,150
25/11/2028,Helio,Ear_Sat,0
28/11/2028,Helio,Jup_Ura,135
07/12/2028,Geo,Jup_Nep,120
17/12/2028,Nep,D,
19/12/2028,Helio,Jup_Sat,30
21/12/2028,Helio,Mer_Jup,36
22/12/2028,Geo,Sun_Jup,15
23/12/2028,Geo,Mer_Jup,0
29/12/2028,Geo,Jup_Sat,36
01/01/2029,Geo,Jup_Ura,144
01/01/2029,Mon,LEcl,
04/01/2029,Jup,Hs,
05/01/2029,Helio,Nep_Plu,15
05/01/2029,Sat,D,
06/01/2029,Helio,Mer_Nep,150
09/01/2029,Geo,Jup_Ura,144
15/01/2029,Sun,SEcl,
17/01/2029,Geo,Mar_Jup,22.5
22/01/2029,Geo,Nep_Nep,45
27/01/2029,Helio,Ven_Sat,90
07/02/2029,Geo,Sun_Plu,90
10/02/2029,Jup,R,
15/02/2029,Helio,Nep_Nep,45
16/02/2029,Ura,D,
19/02/2029,Helio,Jup_Plu,72
27/02/2029,Geo,Jup_Plu,22.5
04/03/2029,Helio,Mar_Jup,36
07/03/2029,Geo,Mar_Jup,22.5
09/03/2029,Helio,Jup_Sat,36
18/03/2029,Geo,Sun_Sat,180
20/03/2029,Jup,Hs,
23/03/2029,Geo,Jup_Ura,144
25/03/2029,Helio,Jup_Ura,150
26/03/2029,Geo,Jup_Ura,144
26/03/2029,Geo,Jup_Sat,36
27/03/2029,Geo,Ven_Sat,144
02/04/2029,Geo,Mer_Jup,0
02/04/2029,Geo,Sun_Nep,150
03/04/2029,Geo,Sun_Jup,15
08/04/2029,Helio,Ear_Plu,90
19/04/2029,Helio,Sat_Sat,120
19/04/2029,Helio,Mer_Jup,45
20/04/2029,Geo,Jup_Nep,120
22/04/2029,Helio,Jup_Nep,120
24/04/2029,Helio,Ear_Nep,30
01/05/2029,Helio,Sat_Ura,90
02/05/2029,Geo,Sat_Plu,135
07/05/2029,Ura,Hs,
11/05/2029,Plu,R,
12/05/2029,Geo,Jup_Ura,150
13/05/2029,Geo,Mar_Jup,30
14/05/2029,Geo,Ven_Sat,150
17/05/2029,Geo,Jup_Sat,30
23/05/2029,Geo,Jup_Sat,120
23/05/2029,Helio,Mar_Jup,30
04/06/2029,Helio,Sat_Plu,135
06/06/2029,Geo,Sat_Sat,120
09/06/2029,Geo,Mar_Sat,180
10/06/2029,Geo,Sat_Ura,60
11/06/2029,Geo,Sun_Ura,144
12/06/2029,Helio,Jup_Jup,90
12/06/2029,Helio,Jup_Ura,144
12/06/2029,Sun,SEcl,
14/06/2029,Jup,D,
21/06/2029,Helio,Ear_Sat,7.5
26/06/2029,Mon,LEcl,
28/06/2029,Sat,Hs,
29/06/2029,Geo,Ven_Ura,180
30/06/2029,Helio,Jup_Nep,72
02/07/2029,Geo,Sat_Nep,90
05/07/2029,Helio,Jup_Sat,45
08/07/2029,Helio,Ear_Ura,36
11/07/2029,Geo,Jup_Sat,30
11/07/2029,Sun,SEcl,
14/07/2029,Nep,R,
16/07/2029,Geo,Mar_Jup,30
16/07/2029,Geo,Jup_Ura,150
19/07/2029,Geo,Jup_Ura,150
22/07/2029,Geo,Sat_Plu,144
28/07/2029,Helio,Jup_Plu,60
29/07/2029,Geo,Jup_Plu,22.5
31/07/2029,Geo,Mer_Sat,150
06/08/2029,Geo,Jup_Nep,120
21/08/2029,Geo,Sun_Jup,15
22/08/2029,Geo,Mer_Jup,0
24/08/2029,Geo,Sun_Plu,90
27/08/2029,Geo,Jup_Sat,36
29/08/2029,Geo,Jup_Ura,144
29/08/2029,Helio,Mar_Jup,22.5
30/08/2029,Jup,Hs,
06/09/2029,Geo,Mar_Jup,22.5
06/09/2029,Sat,R,
20/09/2029,Geo,Jup_Plu,60
24/09/2029,Ura,R,
28/09/2029,Geo,Ven_Jup,45
30/09/2029,Geo,Sun_Jup,7.5
01/10/2029,Geo,Mer_Jup,7.5
09/10/2029,Helio,Jup_Ura,135
11/10/2029,Geo,Jup_Sat,45
13/10/2029,Geo,Mar_Jup,15
13/10/2029,Geo,Jup_Ura,135
13/10/2029,Geo,Mer_Sat,150
17/10/2029,Geo,Jup_Jup,72
21/10/2029,Plu,D,
23/10/2029,Geo,Sat_Plu,144
03/11/2029,Helio,Mer_Jup,60
04/11/2029,Geo,Sun_Jup,0
04/11/2029,Geo,Mer_Jup,15
04/11/2029,Helio,Sat_Ura,60
09/11/2029,Geo,Ven_Jup,36
11/11/2029,Geo,Sun_Nep,150
11/11/2029,Helio,Ear_Jup,180
14/11/2029,Geo,Sat_Nep,90
17/11/2029,Geo,Mar_Jup,7.5
19/11/2029,Sat,Hs,
29/11/2029,Geo,Jup_Plu,45
01/12/2029,Geo,Jup_Ura,150
05/12/2029,Sun,SEcl,
06/12/2029,Helio,Mar_Jup,15
07/12/2029,Geo,Ven_Jup,30
09/12/2029,Geo,Sun_Jup,7.5
10/12/2029,Geo,Mer_Jup,22.5
11/12/2029,Helio,Ven_Jup,90
12/12/2029,Geo,Jup_Jup,60
15/12/2029,Geo,Sun_Plu,90
18/12/2029,Geo,Sat_Ura,60
18/12/2029,Geo,Mar_Sat,180
19/12/2029,Nep,D,
21/12/2029,Geo,Jup_Sat,60
21/12/2029,Mon,LEcl,
23/12/2029,Geo,Mar_Jup,0
23/12/2029,Geo,Jup_Ura,120
26/12/2029,Geo,Sat_Sat,120
27/12/2029,Geo,Ven_Ura,180
02/01/2030,Helio,Sat_Nep,90
04/01/2030,Jup,Hs,
06/01/2030,Geo,Jup_Plu,22.5
06/01/2030,Geo,Jup_Nep,90
13/01/2030,Helio,Ear_Sat,15
17/01/2030,Geo,Jup_Plu,36
17/01/2030,Geo,Ven_Jup,22.5
18/01/2030,Helio,Jup_Sat,60
19/01/2030,Sat,D,
21/01/2030,Geo,Sun_Jup,15
21/01/2030,Geo,Mer_Jup,30
26/01/2030,Geo,Sun_Nep,150
29/01/2030,Geo,Sun_Ura,144
03/02/2030,Helio,Jup_Jup,72
06/02/2030,Helio,Sat_Plu,144
09/02/2030,Helio,Jup_Plu,45
12/02/2030,Geo,Sat_Sat,120
14/02/2030,Geo,Mar_Jup,7.5
19/02/2030,Geo,Mar_Sat,180
20/02/2030,Geo,Sat_Ura,60
21/02/2030,Ura,D,
25/02/2030,Helio,Mar_Nep,135
05/03/2030,Helio,Mar_Sat,180
13/03/2030,Jup,R,
14/03/2030,Helio,Mar_Jup,7.5
15/03/2030,Geo,Sun_Ura,144
18/03/2030,Sat,Hs,
23/03/2030,Geo,Sat_Nep,90
08/04/2030,Geo,Sat_Plu,144
08/04/2030,Helio,Mer_Jup,72
09/04/2030,Plu,Hs,
10/04/2030,Geo,Mar_Jup,7.5
13/04/2030,Geo,Mer_Sat,150
16/04/2030,Geo,Ven_Ura,180
16/04/2030,Helio,Jup_Sat,120
20/04/2030,Geo,Ura_Nep,22.5
23/04/2030,Helio,Jup_Ura,120
02/05/2030,Helio,Ven_Nep,60
05/05/2030,Geo,Mer_Jup,30
06/05/2030,Geo,Sun_Jup,15
08/05/2030,Geo,Jup_Ura,150
10/05/2030,Geo,Ven_Jup,22.5
10/05/2030,Geo,Jup_Plu,36
13/05/2030,Plu,R,
20/05/2030,Helio,Jup_Nep,90
24/05/2030,Geo,Jup_Nep,90
26/05/2030,Geo,Sat_Plu,150
27/05/2030,Jup,Hs,
31/05/2030,Geo,Mer_Sat,144
01/06/2030,Sat,Gem,
01/06/2030,Sun,SEcl,
06/06/2030,Helio,Jup_Plu,36
08/06/2030,Geo,Mar_Nep,144
08/06/2030,Geo,Sat_Ura,90
09/06/2030,Geo,Sat_Ura,72
15/06/2030,Geo,Mar_Ura,150
15/06/2030,Geo,Jup_Sat,135
16/06/2030,Geo,Jup_Ura,120
16/06/2030,Geo,Ura_Ura,90
16/06/2030,Geo,Mar_Jup,0
16/06/2030,Mon,LEcl,
16/06/2030,Plu,Hs,
19/06/2030,Helio,Mar_Jup,0
21/06/2030,Geo,Jup_Sat,60
23/06/2030,Helio,Jup_Sat,72
09/07/2030,Helio,Jup_Jup,60
15/07/2030,Jup,D,
17/07/2030,Nep,R,
19/07/2030,Helio,Sat_Plu,150
31/07/2030,Geo,Ura_Nep,120
02/08/2030,Helio,Ven_Jup,72
05/08/2030,Helio,Ear_Sat,22.5
08/08/2030,Geo,Jup_Sat,60
13/08/2030,Geo,Mar_Jup,0
13/08/2030,Geo,Jup_Ura,120
22/08/2030,Helio,Jup_Plu,30
25/08/2030,Geo,Mar_Nep,144
01/09/2030,Jup,Hs,
04/09/2030,Geo,Jup_Nep,90
05/09/2030,Geo,Sun_Sat,150
07/09/2030,Helio,Ven_Plu,0
10/09/2030,Geo,Mer_Sat,135
16/09/2030,Geo,Jup_Plu,36
16/09/2030,Geo,Ven_Jup,22.5
19/09/2030,Geo,Sun_Jup,15
20/09/2030,Geo,Mer_Jup,30
21/09/2030,Sat,R,
23/09/2030,Helio,Mar_Jup,7.5
28/09/2030,Helio,Sat_Ura,72
