Date,Type,Planets,Angle
12/09/2022,Helio,Ven_Sat,180.0
12/09/2022,Helio,Ven_Nep,150.0
12/09/2022,Helio,Mar_Plu,90.0
12/09/2022,Helio,Mer_Sat,7.5
