Date,Hit
2022-09-10,1
2022-09-11,3
2022-09-12,2
2022-09-14,1
2022-09-14,1
2022-09-15,1
2022-09-16,1
2022-09-16,1
2022-09-17,2
2022-09-18,3
2022-09-19,1
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-22,2
