Date,Points
2022-09-12,25
2022-09-12,15
2022-09-12,10
2022-09-12,5
2022-09-12,25
2022-09-13,15
2022-09-14,15
2022-09-14,10
2022-09-14,20
2022-09-14,10
2022-09-14,35
2022-09-15,20
2022-09-15,10
2022-09-16,15
2022-09-16,15
